"","grp","var1","var2","vcov","sdcor","Percent","RMSE","Repeatability","Rsquared","Trait"
"99","Pedigree:Flight","(Intercept)",NA,0.000636109281924462,0.0252212069878597,0.0198681746249882,0.0513551348180116,0.466136780111672,0.902075931692137,"ExGR"
"100","Pedigree","(Intercept)",NA,0.000140239922908938,0.0118422938195663,0.00438023993191869,0.0513551348180116,0.466136780111672,0.902075931692137,"ExGR"
"101","Row","(Intercept)",NA,6.16613322329721e-05,0.00785247300109794,0.00192592397442737,0.0513551348180116,0.466136780111672,0.902075931692137,"ExGR"
"102","Range","(Intercept)",NA,0.000118134133642238,0.0108689527389826,0.00368978988842108,0.0513551348180116,0.466136780111672,0.902075931692137,"ExGR"
"103","Flight","(Intercept)",NA,0.0279251634504881,0.167108238727144,0.872211803272381,0.0513551348180116,0.466136780111672,0.902075931692137,"ExGR"
"104","Rep","(Intercept)",NA,0,0,0,0.0513551348180116,0.466136780111672,0.902075931692137,"ExGR"
"105","Residual",NA,NA,0.00313518528753489,0.0559927253090515,0.0979240683078634,0.0513551348180116,0.466136780111672,0.902075931692137,"ExGR"
"106","Pedigree:Flight","(Intercept)",NA,0.000148539489373116,0.012187677767857,0.0122892607889982,0.030458718519898,0.449379880229655,0.912598407618585,"ExR"
"107","Pedigree","(Intercept)",NA,4.29205728803053e-05,0.00655137946392248,0.0035509891380759,0.030458718519898,0.449379880229655,0.912598407618585,"ExR"
"108","Row","(Intercept)",NA,2.02405965835957e-05,0.00449895505463165,0.00167458479216862,0.030458718519898,0.449379880229655,0.912598407618585,"ExR"
"109","Range","(Intercept)",NA,1.25530606928748e-05,0.00354302987467997,0.00103856447336611,0.030458718519898,0.449379880229655,0.912598407618585,"ExR"
"110","Flight","(Intercept)",NA,0.0108061766951606,0.103952761844795,0.894037835320976,0.030458718519898,0.449379880229655,0.912598407618585,"ExR"
"111","Rep","(Intercept)",NA,8.67008498088219e-08,0.000294450080334209,7.17310500005811e-06,0.030458718519898,0.449379880229655,0.912598407618585,"ExR"
"112","Residual",NA,NA,0.00105641731635763,0.0325025739958797,0.0874015923814147,0.030458718519898,0.449379880229655,0.912598407618585,"ExR"
"113","Pedigree:Flight","(Intercept)",NA,0.000149111564399162,0.0122111246164783,0.0546682379648557,0.0202467726879539,0.569230268887836,0.811246212411999,"Gmb"
"114","Pedigree","(Intercept)",NA,3.62252222959805e-05,0.00601873926133875,0.0132811233037912,0.0202467726879539,0.569230268887836,0.811246212411999,"Gmb"
"115","Row","(Intercept)",NA,1.07574762935336e-05,0.00327985918806488,0.00394397494443762,0.0202467726879539,0.569230268887836,0.811246212411999,"Gmb"
